opportunity_id,account_id,account,seller_id,sales_agent,manager,regional_office,product_id,product,product_series,account_sector,account_country,deal_stage,engage_date,close_date,close_value,close_quarter,close_month,close_week_start,sales_cycle_days,purchase_type_observed
0000I7AO,A056,Rangreen,S017,Jonathan Berthelot,Melvin Marxen,Central,P002,GTX Basic,GTX,technology,Panama,Won,2017-04-05,2017-05-12,505,2017-Q2,2017-05,2017-05-08,37,Repeat observed purchase
00400B1S,,,S020,Lajuana Vencill,Dustin Brinkmann,Central,P002,GTX Basic,GTX,,,Prospecting,,,,,,,,
005JS57S,A072,Treequote,S014,Gladys Colclough,Melvin Marxen,Central,P002,GTX Basic,GTX,telecommunications,United States,Won,2017-10-30,2017-11-11,539,2017-Q4,2017-11,2017-11-06,12,Repeat observed purchase
00KY25OA,A012,Condax,S010,Donn Cantrell,Rocco Neubert,East,P002,GTX Basic,GTX,medical,United States,Won,2017-05-19,2017-06-01,564,2017-Q2,2017-06,2017-05-29,13,Repeat observed purchase
00X8VEYH,A059,Rundofase,S017,Jonathan Berthelot,Melvin Marxen,Central,P005,GTX Pro,GTX,technology,United States,Won,2017-10-07,2017-12-22,4404,2017-Q4,2017-12,2017-12-18,76,Repeat observed purchase
00XBYXIB,A032,Green-Plus,S019,Kary Hendrixson,Summer Sewald,West,P003,GTX Plus Basic,GTX,services,United States,Won,2017-07-08,2017-07-09,993,2017-Q3,2017-07,2017-07-03,1,Repeat observed purchase
00ZD3M4J,A055,Plussunin,S028,Reed Clapper,Rocco Neubert,East,P005,GTX Pro,GTX,retail,United States,Lost,2017-06-25,2017-07-04,0,2017-Q3,2017-07,2017-07-03,9,
018KKT5I,A021,Faxquote,S029,Rosalina Dieter,Celia Rouche,West,P002,GTX Basic,GTX,telecommunications,United States,Lost,2017-10-05,2017-10-11,0,2017-Q4,2017-10,2017-10-09,6,
019I751P,A066,Statholdings,S001,Anna Snelling,Dustin Brinkmann,Central,P003,GTX Plus Basic,GTX,employment,United States,Won,2017-07-02,2017-07-09,1180,2017-Q3,2017-07,2017-07-03,7,Repeat observed purchase
01DZ14Y0,A085,dambase,S014,Gladys Colclough,Melvin Marxen,Central,P006,MG Advanced,MG,marketing,United States,Lost,2017-08-28,2017-11-25,0,2017-Q4,2017-11,2017-11-20,89,
01EH41WA,,,S035,Zane Levy,Summer Sewald,West,P005,GTX Pro,GTX,,,Engaging,2017-03-04,,,,,,,
01FNZW2T,A008,Bubba Gump,S030,Rosie Papadopoulos,Cara Losch,East,P005,GTX Pro,GTX,software,United States,Won,2017-08-30,2017-12-08,3974,2017-Q4,2017-12,2017-12-04,100,Repeat observed purchase
01QKN578,A024,Funholding,S009,Darcel Schlecht,Melvin Marxen,Central,P005,GTX Pro,GTX,finance,United States,Won,2016-12-23,2017-03-20,4247,2017-Q1,2017-03,2017-03-20,87,Repeat observed purchase
01X8H9SO,A008,Bubba Gump,S007,Corliss Cosme,Cara Losch,East,P005,GTX Pro,GTX,software,United States,Won,2017-01-30,2017-05-13,5035,2017-Q2,2017-05,2017-05-08,103,Repeat observed purchase
01XZ9CRY,A036,Initech,S035,Zane Levy,Summer Sewald,West,P004,GTX Plus Pro,GTX,telecommunications,United States,Engaging,2017-09-18,,,,,,,
021Z2J9L,A059,Rundofase,S021,Markita Hansen,Celia Rouche,West,P001,GTK 500,GTK,technology,United States,Engaging,2017-07-23,,,,,,,
02EC1993,A061,Scottech,S025,Moses Frase,Dustin Brinkmann,Central,P007,MG Special,MG,marketing,United States,Won,2017-08-31,2017-11-08,57,2017-Q4,2017-11,2017-11-06,69,Repeat observed purchase
02G0NJCN,A076,Xx-holding,S032,Vicki Laflamme,Celia Rouche,West,P007,MG Special,MG,finance,United States,Won,2017-10-17,2017-10-26,68,2017-Q4,2017-10,2017-10-23,9,Repeat observed purchase
02ILGBRB,A085,dambase,S025,Moses Frase,Dustin Brinkmann,Central,P007,MG Special,MG,marketing,United States,Lost,2017-09-16,2017-11-21,0,2017-Q4,2017-11,2017-11-20,66,
02K37JAK,,,S017,Jonathan Berthelot,Melvin Marxen,Central,P003,GTX Plus Basic,GTX,,,Engaging,2017-07-21,,,,,,,
