seller_id,sales_agent,manager,regional_office
S001,Anna Snelling,Dustin Brinkmann,Central
S002,Boris Faz,Rocco Neubert,East
S003,Carl Lin,Summer Sewald,West
S004,Carol Thompson,Celia Rouche,West
S005,Cassey Cress,Rocco Neubert,East
S006,Cecily Lampkin,Dustin Brinkmann,Central
S007,Corliss Cosme,Cara Losch,East
S008,Daniell Hammack,Rocco Neubert,East
S009,Darcel Schlecht,Melvin Marxen,Central
S010,Donn Cantrell,Rocco Neubert,East
S011,Elease Gluck,Celia Rouche,West
S012,Elizabeth Anderson,Cara Losch,East
S013,Garret Kinder,Cara Losch,East
S014,Gladys Colclough,Melvin Marxen,Central
S015,Hayden Neloms,Celia Rouche,West
S016,James Ascencio,Summer Sewald,West
S017,Jonathan Berthelot,Melvin Marxen,Central
S018,Kami Bicknell,Summer Sewald,West
S019,Kary Hendrixson,Summer Sewald,West
S020,Lajuana Vencill,Dustin Brinkmann,Central
S021,Markita Hansen,Celia Rouche,West
S022,Marty Freudenburg,Melvin Marxen,Central
S023,Maureen Marcano,Summer Sewald,West
S024,Mei-Mei Johns,Melvin Marxen,Central
S025,Moses Frase,Dustin Brinkmann,Central
S026,Natalya Ivanova,Rocco Neubert,East
S027,Niesha Huffines,Melvin Marxen,Central
S028,Reed Clapper,Rocco Neubert,East
S029,Rosalina Dieter,Celia Rouche,West
S030,Rosie Papadopoulos,Cara Losch,East
S031,Versie Hillebrand,Dustin Brinkmann,Central
S032,Vicki Laflamme,Celia Rouche,West
S033,Violet Mclelland,Cara Losch,East
S034,Wilburn Farren,Cara Losch,East
S035,Zane Levy,Summer Sewald,West
