id,name,source_dimension_id,region,manager,role,hire_date,employed_until,quota_bearing,monthly_cost,source_kind,scenario_id
S001,Demo seller 01,S001,Central,Central manager 1,Sales specialist,2025-01-01,,True,9000,synthetic,planning-v2-seed-20260920
S002,Demo seller 02,S002,East,East manager 2,Account executive,2025-01-01,,True,10000,synthetic,planning-v2-seed-20260920
S003,Demo seller 03,S003,West,West manager 1,Account executive,2025-01-01,,True,11000,synthetic,planning-v2-seed-20260920
S004,Demo seller 04,S004,West,West manager 2,Sales specialist,2025-01-01,,True,12000,synthetic,planning-v2-seed-20260920
S005,Demo seller 05,S005,East,East manager 1,Account executive,2025-01-01,,True,13000,synthetic,planning-v2-seed-20260920
S006,Demo seller 06,S006,Central,Central manager 2,Account executive,2025-01-01,,True,9000,synthetic,planning-v2-seed-20260920
S007,Demo seller 07,S007,East,East manager 1,Sales specialist,2025-01-01,,True,10000,synthetic,planning-v2-seed-20260920
S008,Demo seller 08,S008,East,East manager 2,Account executive,2025-01-01,,True,11000,synthetic,planning-v2-seed-20260920
S009,Demo seller 09,S009,Central,Central manager 1,Account executive,2025-01-01,,True,12000,synthetic,planning-v2-seed-20260920
S010,Demo seller 10,S010,East,East manager 2,Sales specialist,2025-01-01,,True,13000,synthetic,planning-v2-seed-20260920
S011,Demo seller 11,S011,West,West manager 1,Account executive,2025-01-01,,True,9000,synthetic,planning-v2-seed-20260920
S012,Demo seller 12,S012,East,East manager 2,Account executive,2025-01-01,,True,10000,synthetic,planning-v2-seed-20260920
S013,Demo seller 13,S013,East,East manager 1,Sales specialist,2025-01-01,,True,11000,synthetic,planning-v2-seed-20260920
S014,Demo seller 14,S014,Central,Central manager 2,Account executive,2025-01-01,,True,12000,synthetic,planning-v2-seed-20260920
S015,Demo seller 15,S015,West,West manager 1,Account executive,2025-01-01,,True,13000,synthetic,planning-v2-seed-20260920
S016,Demo seller 16,S016,West,West manager 2,Sales specialist,2025-01-01,,True,9000,synthetic,planning-v2-seed-20260920
S017,Demo seller 17,S017,Central,Central manager 1,Account executive,2025-01-01,,True,10000,synthetic,planning-v2-seed-20260920
S018,Demo seller 18,S018,West,West manager 2,Account executive,2025-01-01,,True,11000,synthetic,planning-v2-seed-20260920
S019,Demo seller 19,S019,West,West manager 1,Sales specialist,2025-01-01,,True,12000,synthetic,planning-v2-seed-20260920
S020,Demo seller 20,S020,Central,Central manager 2,Account executive,2025-01-01,,True,13000,synthetic,planning-v2-seed-20260920
S021,Demo seller 21,S021,West,West manager 1,Account executive,2025-01-01,,True,9000,synthetic,planning-v2-seed-20260920
S022,Demo seller 22,S022,Central,Central manager 2,Sales specialist,2025-01-01,,True,10000,synthetic,planning-v2-seed-20260920
S023,Demo seller 23,S023,West,West manager 1,Account executive,2025-01-01,,True,11000,synthetic,planning-v2-seed-20260920
S024,Demo seller 24,S024,Central,Central manager 2,Account executive,2025-01-01,,True,12000,synthetic,planning-v2-seed-20260920
S025,Demo seller 25,S025,Central,Central manager 1,Sales specialist,2025-01-01,,True,13000,synthetic,planning-v2-seed-20260920
S026,Demo seller 26,S026,East,East manager 2,Account executive,2025-01-01,,True,9000,synthetic,planning-v2-seed-20260920
S027,Demo seller 27,S027,Central,Central manager 1,Account executive,2025-01-01,,True,10000,synthetic,planning-v2-seed-20260920
S028,Demo seller 28,S028,East,East manager 2,Sales specialist,2025-01-01,,True,11000,synthetic,planning-v2-seed-20260920
S029,Demo seller 29,S029,West,West manager 1,Account executive,2025-01-01,,True,12000,synthetic,planning-v2-seed-20260920
S030,Demo seller 30,S030,East,East manager 2,Account executive,2025-01-01,,True,13000,synthetic,planning-v2-seed-20260920
S031,Demo seller 31,S031,Central,Central manager 1,Sales specialist,2026-07-01,,True,9000,synthetic,planning-v2-seed-20260920
S032,Demo seller 32,S032,West,West manager 2,Account executive,2026-07-01,,True,10000,synthetic,planning-v2-seed-20260920
S033,Demo seller 33,S033,East,East manager 1,Account executive,2026-07-01,,True,11000,synthetic,planning-v2-seed-20260920
S034,Demo seller 34,S034,East,East manager 2,Sales specialist,2026-07-01,,True,12000,synthetic,planning-v2-seed-20260920
S035,Demo seller 35,S035,West,West manager 1,Account executive,2026-07-01,,True,13000,synthetic,planning-v2-seed-20260920
